Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Lead Investments,Number of Portfolio Organizations,Number of Exits (IPO),Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industry Groups,Industries,Number of Founders,Founders,Number of Employees
Perikles Ventures,https://www.crunchbase.com/organization/perikles-ventures,Venture Capital,2,,"Düsseldorf, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Perikles Ventures provides pre-seed and seed capital for exceptional venture ideas.,,2,,Active,2015-01-01,year,https://www.perikles-ventures.com/,,,,,,
Fawkes Ventures,https://www.crunchbase.com/organization/fawkes-ventures,Venture Capital,2,,"Leverkusen, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Fawkes Ventures,1,2,,Active,,,,,,,,,
A-Z Beteiligungen,https://www.crunchbase.com/organization/a-z-beteiligungen,Venture Capital,2,,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","A-Z Beteiligungen is a German venture capital company that invests in consumer services, internet marketing, and SEO businesses.",,1,,Active,,,,,,,,,
Ulitzka Venture Capital GmbH,https://www.crunchbase.com/organization/ulitzka-venture-capital,Venture Capital,2,,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Early stage investor. Focused on technologies in the digital advertising environment.,,1,,Active,2014-06-01,day,http://www.ulitzkaventures.de/,,,,,,
d.ventures,https://www.crunchbase.com/organization/d-ventures,Venture Capital,1,,"Köln, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",d.ventures is focusing on digital marketing and e-commerce.,,1,,Active,2017-01-01,year,https://d.ventures/,https://www.linkedin.com/company/d-ventures-group/,"Advertising, Commerce and Shopping, Sales and Marketing","Advertising, Digital Marketing, E-Commerce, Marketing",,,1-10
Salford Ventures,https://www.crunchbase.com/organization/salford-ventures,"Angel Group, Incubator, Secondary Purchaser, Venture Capital",1,,"Düsseldorf, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Salford Ventures is a Germany-based venture capital firm that specializes in seed and early-stage investments in technology startups.,,1,,Active,2024-06-30,day,https://www.salfordventures.de,https://www.linkedin.com/company/salford-ventures/posts/?feedView=all&viewAsMember=true,"Financial Services, Information Technology, Lending and Investments, Software","Banking, Finance, Information Technology, Software",1,Sam Chauhan,11-50
HEADFOUND,https://www.crunchbase.com/organization/headfound,Venture Capital,1,,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",HEADFOUND is a German recruitment firm that specializes in integrating best talent with cutting-edge organizations.,,1,,Active,2018-01-01,year,https://www.headfound.com/,https://www.linkedin.com/company/headfound,"Administrative Services, Professional Services","Human Resources, Recruiting",,,1-10
GET.invest,https://www.crunchbase.com/organization/get-invest,Venture Capital,1,,"Bonn, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",GET.invest is a European programme that encourages investment in distributed renewable energy projects.,1,1,,Active,,,https://www.get-invest.eu/fund/energy-entrepreneurs-growth-fund-triple-jump,https://www.linkedin.com/company/getinvest,"Financial Services, Lending and Investments",Venture Capital,,,11-50
CAMPO GROUP,https://www.crunchbase.com/organization/campo-group,Venture Capital,1,,"Düsseldorf, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Campo is invest in services for people in motion.,,1,,Active,2019-01-01,year,https://www.campo.group/,https://www.linkedin.com/company/campo-group/about/,,,1,Moritz Schumacher,1-10
Black Horse Investments,https://www.crunchbase.com/organization/black-horse-investments,Venture Capital,1,,"Düsseldorf, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Black Horse Investments is a Private Investment Fund that specializes in Commercial Development and Investing.,1,1,,Closed,,,http://blackhorsedev.us,,Financial Services,"Finance, Financial Services",,,
InsuResilience Solutions Fund,https://www.crunchbase.com/organization/insuresilience-solutions-fund,Venture Capital,1,,"Bonn, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",The ISF provides grant-based co-funding,1,1,,Active,2016-01-01,year,https://www.insuresilience-solutions-fund.org,https://www.linkedin.com/company/insuresilience-solutions-fund-isf/,,,,,
Nenio Ventures,https://www.crunchbase.com/organization/nenio-ventures,Venture Capital,1,,"Düsseldorf, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Nenio Ventures is a family investment office.,,1,,Active,2019-01-01,year,https://www.nenio-ventures.com,https://www.linkedin.com/company/nenio-ventures/,,,,,
FS Life Science Investment,https://www.crunchbase.com/organization/fs-life-science-investment,Venture Capital,1,,"Düsseldorf, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",FS Life Science Investment is a venture capital company that provides investments in life science projects.,,1,,Active,2012-01-01,year,https://www.fs-investment.eu,https://www.linkedin.com/company/fs-life-science-investment/,"Biotechnology, Data and Analytics, Financial Services, Lending and Investments, Science and Engineering","Bioinformatics, Life Science, Venture Capital",,,1-10
Deutsche Post Ventures,https://www.crunchbase.com/organization/deutsche-post-ventures,Venture Capital,1,1,"Bonn, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Deutsche Post Ventures is an investment arm of the German logistics company Deutsche Post World Net.,1,1,,Closed,2000-01-01,year,,,,,1,Martin Fritsch,
AXA Innovation Campus,https://www.crunchbase.com/organization/axa-innovation-campus,Venture Capital,1,1,"Köln, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","AXA Innovation Campus support Startups in all stages with venture capital, partnership opportunities and insurance coverage.",,1,,Active,,,https://www.axa-campus.de/,,,,,,1-10
Vilitas GmbH & Co. KG,https://www.crunchbase.com/organization/vilitas-gmbh-co-kg,Venture Capital,1,,"Aachen, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","Investors headquartered in Aachen, Germany",,1,,Active,,,http://vilitas.de/,,,,,,
Hx Bio Ventures,https://www.crunchbase.com/organization/hx-bio-ventures,Venture Capital,1,,"Düsseldorf, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Hx Bio Ventures invests in early-stage companies developing next-generation biologics.,,1,,Active,,,,,,,,,
Hüttenes³,https://www.crunchbase.com/organization/hüttenes³,Venture Capital,1,,"Düsseldorf, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Hüttenes³ is an angel office that invests in european deep-tech firms.,,1,,Active,,,,https://www.linkedin.com/company/huettenes-hoch-drei-gmbh/,,,,,1-10
CologneInvest,https://www.crunchbase.com/organization/cologneinvest,Venture Capital,1,,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",CologneInvest is a venture capital business run by the owners.,,1,,Active,1999-01-01,year,http://www.cologne-invest.com,https://www.linkedin.com/company/cologneinvest-gmbh,,,,,
Stars Innovation,https://www.crunchbase.com/organization/stars-innovation,"Micro VC, Venture Capital",1,,"Düsseldorf, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","Stars Innovation see themselves as a bridge between you as an investor who wants to leave his money to work, and entrepreneurs who work",,1,,Active,,,http://www.stars-innovation.com,,,,,,
AC+X Strategic Investments,https://www.crunchbase.com/organization/ac-x-strategic-investments,Venture Capital,1,,"Köln, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","We are AC+X Strategic Investments and we are curious about the future of technology for real estate, retail and city centers.",,1,,Active,,,https://www.acx-invest.de,https://www.linkedin.com/company/ac-x,,,,,1-10
Crew Ventures,https://www.crunchbase.com/organization/crew-ventures,Venture Capital,1,,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Crew Ventures is a venture capital firm.,1,1,,Active,,,http://www.crew-ventures.com/,,,,,,
MHSP Ventures,https://www.crunchbase.com/organization/mhsp-ventures,Venture Capital,1,,"Essen, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","We build, manage and create high-quality software and innovative ventures.",,1,,Active,2021-09-13,day,https://mhsp.ventures,https://linkedin.com/company/mhsp/,Software,Software,1,Daniel Malik,1-10
Rheinland Venture Capital,https://www.crunchbase.com/organization/rheinland-venture-capital,Venture Capital,1,1,"Aachen, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Rheinland Venture Capital was added in 2011.,,1,,Closed,,,http://www.rheinlandvc.de,,,,,,
Spotlight! Ventures,https://www.crunchbase.com/organization/spotlight-ventures-3e5c,Venture Capital,,,"Bonn, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Global tech investments with outstanding brands & entrepreneurs,,,,Active,2021-01-01,year,https://spotlightventures.de,https://www.linkedin.com/company/spotlightventures,"Apps, Commerce and Shopping, Financial Services, Food and Beverage, Information Technology, Lending and Investments, Mobile, Professional Services, Real Estate, Software","Apps, Consulting, Financial Services, Food and Beverage, Information Technology, Mobile, Real Estate, Retail, Software, Venture Capital",1,Sophia Tran,1-10
Amazing Capital,https://www.crunchbase.com/organization/amazing-capital,Venture Capital,,,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Early Stage Ventures Capital Investor,,,,Active,2021-01-28,day,http://amazingcapital.de,https://www.linkedin.com/company/amazingcapital,,,1,Michael Baßler,
Magmatic Ventures,https://www.crunchbase.com/organization/magmatic-ventures,"Micro VC, Venture Capital",,,"Düsseldorf, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","Magmatic Ventures is offer financing and entrepreneurial support to founders.  Based in Düsseldorf, investing globally.",,,,Active,2018-01-01,year,https://www.magmatic.ventures,https://www.linkedin.com/company/magmatic-ventures/,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Education, Financial Services, Government and Military, Hardware, Information Technology, Privacy and Security, Science and Engineering, Software","Artificial Intelligence (AI), Augmented Reality, Big Data, Cyber Security, E-Commerce, E-Learning, FinTech, GovTech, Marketplace, SaaS, Virtual Reality",2,"Axel Pretzsch, Clemens Henle",1-10
SilverSky Lifesciences GmbH,https://www.crunchbase.com/organization/silversky-lifesciences-gmbh,Venture Capital,,,"Düsseldorf, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Investor and consultant for Life sciences start-ups,,,,Active,2008-01-21,day,http://silversky-lifesciences.com,https://www.linkedin.com/company/silversky-lifesciences-gmbh,,,1,Mirko Stange,
Droege Ventures,https://www.crunchbase.com/organization/droege-ventures,Venture Capital,,,"Düsseldorf, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","Droege Ventures looks for innovative companies, which together with the Droege Group and its companies can create a scalable business model.",,,,Active,1988-01-01,year,http://www.droege-ventures.com/,,,,,,
Rotonda Investor Office,https://www.crunchbase.com/organization/rotonda-investor-office-gmbh,Venture Capital,,,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Rotonda Investor Office provides support in your investment activities as well as access to a dealflow of prequalified top deals.,,,,Active,2017-01-01,year,https://rotonda.io,https://www.linkedin.com/company/rotonda-investor-office-gmbh/,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",1,Arne Paul Oltmann,1-10
VIRAL GROWTH Ventures GmbH,https://www.crunchbase.com/organization/viral-growth-ventures-gmbh,Venture Capital,,,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Expert in Viral Marketing,,,,Active,2019-10-01,month,https://viralgrowthventures.com/,https://www.linkedin.com/company/viralgrowthventures/,,,1,Daniel Minini,1-10
cm7 GmbH & Co. KG,https://www.crunchbase.com/organization/cm7-gmbh-co-kg,"Angel Group, Venture Capital",,,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",cm7 GmbH & C2014o. KG operates as a business angel.,,,,Active,2014-01-01,year,http://www.cmsieben.de/,,,,,,
TakeOff VC Management,https://www.crunchbase.com/organization/takeoff-vc-management,Venture Capital,,,"Mülheim An Der Ruhr, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","TakeOff VC Management is especially true in young , innovative , fast-growing companies related with flights.",,,,Active,1999-01-01,year,http://www.takeoff-vc.de,,,,,,1-10
KlickVentures,https://www.crunchbase.com/organization/klickventures,"Micro VC, Venture Capital",,,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",KlickVentures is a German venture capitalist that provides consulting for digital transformation.,,,,Closed,2008-01-01,year,http://klickventures.com,http://www.linkedin.com/company/1527816,"Financial Services, Lending and Investments",Venture Capital,,,1-10
curtis newton,https://www.crunchbase.com/organization/curtis-newton,Venture Capital,,,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","As a driving force behind numerous startups since 2005, and the developer of new digital innovation",,,,Active,2005-01-01,year,http://curtis-newton.com/,https://www.linkedin.com/company/curtis-newton-gmbh,"Financial Services, Lending and Investments, Transportation","Automotive, Incubators",,,11-50
Woodapple Ventures,https://www.crunchbase.com/organization/woodapple-ventures,Venture Capital,,,"Düsseldorf, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Woodapple Ventures provide seed-funding to social enterprises which strive to help and support local communities.,,,,Active,,,http://www.woodapple-ventures.com/,https://www.linkedin.com/company/woodappleventures/,"Financial Services, Lending and Investments",Impact Investing,1,Jan Holzapfel,
Ricon GmbH,https://www.crunchbase.com/organization/ricon-gmbh,Venture Capital,,,"Düsseldorf, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Ricon GmbH is a private investment firm focusing on start-up investments and mentoring.,,,,Active,2014-01-01,year,http://www.ricon.co/,https://in.linkedin.com/company/ricon,,,,,1-10
Rost Invest GmbH,https://www.crunchbase.com/organization/rost-invest-gmbh,Venture Capital,,,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","Privately owned, early stage, angel investment company",,,,Active,2014-01-27,day,,,,,,,
Eazy Venture GmbH,https://www.crunchbase.com/organization/eazy-venture-gmbh,Venture Capital,,,"Aachen, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Eazy Venture is a European Impact Venture Fund.,,,,Active,,,https://eazyventure.com,https://www.linkedin.com/company/eazyventure/,"Financial Services, Lending and Investments",Angel Investment,,,1-10
iSteps App Ventures,https://www.crunchbase.com/organization/isteps-app-ventures,Venture Capital,,,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","iSteps App Ventures is a venture capital firm specializing in investments in seed or start up, early venture, and set-up of companies.",,,,Active,2005-01-01,year,http://iSteps.de,,,,,,
Walter Völl,https://www.crunchbase.com/organization/walter-völl-ltd,Venture Capital,,,"Düsseldorf, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Walter Völl  is a Venture Capital firm.,,,,Closed,2012-03-05,day,http://www.waltervöll.de,https://www.linkedin.com/in/walter-v%C3%B6ll-878872a7/,,,,,1-10
Tenonine,https://www.crunchbase.com/organization/tenonine,"Micro VC, Venture Capital",,,"Düsseldorf, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Venture capital and business angel.,,,,Closed,2008-08-08,day,http://www.tenonine.de,,,,,,
